Direct/Indirect,Type,First Author,et al,Year,Datasets,Value,Lower,Upper,ArXiv,lowerredshift,upperredshift,multipledatasets
Indirect,BAO with Planck,0,0,0,0,0,0,0,0,0,0,N
Indirect,BAO with Planck,Pogosian,Y,2020,eBOSS+Planck,69.6,1.8,1.8,2009.08455,0.15,1090.22,N
Indirect,CMB with Planck,0,0,0,0,0,0,0,0,0,0,N
Indirect,CMB with Planck,Aghanim,Y,2020,Planck18,67.27,0.6,0.6,1807.06209,900,1090.22,N
Indirect,CMB with Planck,Aghanim,Y,2020,Planck18+CMB lensing,67.36,0.54,0.54,1807.06209,900,1090.17,N
Indirect,CMB with Planck,Ade,Y,2016,Planck15,67.27,0.66,0.66,1502.01589,900,1090.36,N
Indirect,CMB without Planck,0,0,0,0,0,0,0,0,0,0,N
Indirect,CMB without Planck,Aiola,Y,2020,ACT,67.9,1.5,1.5,2007.07288,900,1090.22,N
Indirect,CMB without Planck,Aiola,Y,2020,ACT+WMAP9,67.6,1.1,1.1,2007.07288,900,1090.22,Y
Indirect,CMB without Planck,Zhang,Y,2019,WMAP+BAO,68.36,0.52,0.53,1812.01877,900,1090.22,Y
Indirect,CMB without Planck,Henning,Y,2018,SPT,71.3,2.1,2.1,1707.09353,900,1090.22,N
Indirect,CMB without Planck,Hinshaw,Y,2013,WMAP9,70,2.2,2.2,1212.5226,900,1091.82,N
Indirect,CMB without Planck,Louis,Y,2025,ACT,66.11,0.79,0.79,2503.14452v2,900,1090.26,N
Indirect,No CMB; with BBN,0,0,0,0,0,0,0,0,0,0,N
Indirect,No CMB; with BBN,D'Amico,Y,2020,BOSS DR12+BBN,68.5,2.2,2.2,1909.05271,0.4,0.7,BBN
Indirect,No CMB; with BBN,Ivanov,Y,2020,BOSS+BBN,67.9,1.1,1.1,1909.05277,0.38,0.61,BBN
Indirect,No CMB; with BBN,Alam,Y,2020,BOSS+eBOSS+BBN,67.33,0.98,0.98,2007.08991,0.07,3.5,BBN
